YEAR ,MONTH,INDEX
1963,3.00E+00,-1.10E+00
1963,4.00E+00,-8.11E-01
1963,5.00E+00,-4.28E-01
1963,6.00E+00,-7.16E-01
1963,7.00E+00,-3.67E-01
1963,8.00E+00,-1.35E-01
1963,9.00E+00,1.20E-01
1963,1.00E+01,5.07E-01
1963,1.10E+01,6.61E-01
1963,1.20E+01,5.41E-01
1964,1.00E+00,1.07E+00
1964,2.00E+00,2.92E-01
1964,3.00E+00,3.52E-01
1964,4.00E+00,2.50E-01
1964,5.00E+00,2.72E-01
1964,6.00E+00,8.84E-01
1964,7.00E+00,1.60E+00
1964,8.00E+00,7.82E-01
1964,9.00E+00,9.13E-01
1964,1.00E+01,7.13E-01
1964,1.10E+01,7.44E-02
1964,1.20E+01,-6.79E-01
1965,1.00E+00,-6.09E-01
1965,2.00E+00,-8.38E-01
1965,3.00E+00,-9.43E-01
1965,4.00E+00,-8.79E-01
1965,5.00E+00,-1.16E+00
1965,6.00E+00,-8.30E-01
1965,7.00E+00,-6.92E-01
1965,8.00E+00,-4.44E-01
1965,9.00E+00,-8.57E-01
1965,1.00E+01,-6.83E-01
1965,1.10E+01,-9.18E-01
1965,1.20E+01,-1.19E+00
1966,1.00E+00,-3.23E-01
1966,2.00E+00,-1.11E+00
1966,3.00E+00,-5.99E-01
1966,4.00E+00,-1.37E+00
1966,5.00E+00,-1.68E+00
1966,6.00E+00,-1.26E+00
1966,7.00E+00,-1.11E+00
1966,8.00E+00,-9.78E-01
1966,9.00E+00,-7.53E-01
1966,1.00E+01,-8.00E-01
1966,1.10E+01,-9.38E-01
1966,1.20E+01,-5.45E-01
1967,1.00E+00,-7.36E-01
1967,2.00E+00,-6.10E-01
1967,3.00E+00,-1.12E+00
1967,4.00E+00,-8.91E-01
1967,5.00E+00,-9.95E-01
1967,6.00E+00,-1.25E+00
1967,7.00E+00,-1.17E+00
1967,8.00E+00,-7.54E-01
1967,9.00E+00,-5.17E-02
1967,1.00E+01,7.12E-03
1967,1.10E+01,-5.88E-01
1967,1.20E+01,-2.33E-01
1968,1.00E+00,-7.66E-01
1968,2.00E+00,-6.26E-01
1968,3.00E+00,-6.32E-01
1968,4.00E+00,-1.16E+00
1968,5.00E+00,-1.26E+00
1968,6.00E+00,-1.04E+00
1968,7.00E+00,-1.02E+00
1968,8.00E+00,-9.60E-01
1968,9.00E+00,-9.15E-01
1968,1.00E+01,-7.38E-01
1968,1.10E+01,-2.25E-01
1968,1.20E+01,-8.69E-01
1969,1.00E+00,-2.56E+00
1969,2.00E+00,-7.37E-01
1969,3.00E+00,-7.33E-01
1969,4.00E+00,-1.83E-01
1969,5.00E+00,-9.09E-02
1969,6.00E+00,-7.76E-01
1969,7.00E+00,-7.31E-01
1969,8.00E+00,-2.32E-01
1969,9.00E+00,1.52E-02
1969,1.00E+01,2.90E-01
1969,1.10E+01,-4.13E-02
1969,1.20E+01,1.13E+00
1970,1.00E+00,-1.92E-01
1970,2.00E+00,-3.21E-01
1970,3.00E+00,-4.13E-01
1970,4.00E+00,-2.22E-01
1970,5.00E+00,4.84E-01
1970,6.00E+00,3.71E-01
1970,7.00E+00,2.72E-01
1970,8.00E+00,4.13E-01
1970,9.00E+00,3.99E-01
1970,1.00E+01,2.26E-01
1970,1.10E+01,-2.14E-01
1970,1.20E+01,-7.15E-02
1971,1.00E+00,-2.02E-01
1971,2.00E+00,5.96E-02
1971,3.00E+00,4.54E-01
1971,4.00E+00,8.54E-01
1971,5.00E+00,4.95E-01
1971,6.00E+00,4.13E-01
1971,7.00E+00,7.91E-01
1971,8.00E+00,7.06E-01
1971,9.00E+00,5.28E-01
1971,1.00E+01,3.31E-01
1971,1.10E+01,1.82E-01
1971,1.20E+01,-2.80E-02
1972,1.00E+00,-5.31E-01
1972,2.00E+00,-4.08E-01
1972,3.00E+00,-6.94E-01
1972,4.00E+00,-6.81E-01
1972,5.00E+00,-7.47E-01
1972,6.00E+00,-7.61E-01
1972,7.00E+00,-3.22E-01
1972,8.00E+00,-4.27E-01
1972,9.00E+00,-9.25E-01
1972,1.00E+01,-1.10E+00
1972,1.10E+01,-5.56E-01
1972,1.20E+01,-7.62E-01
1973,1.00E+00,-4.84E-02
1973,2.00E+00,-5.03E-01
1973,3.00E+00,-7.23E-02
1973,4.00E+00,-5.06E-02
1973,5.00E+00,2.55E-01
1973,6.00E+00,5.14E-01
1973,7.00E+00,3.24E-01
1973,8.00E+00,1.67E-01
1973,9.00E+00,3.57E-01
1973,1.00E+01,3.50E-01
1973,1.10E+01,-1.13E-01
1973,1.20E+01,3.39E-01
1974,1.00E+00,-1.00E+00
1974,2.00E+00,-3.86E-01
1974,3.00E+00,-2.62E-02
1974,4.00E+00,1.48E-02
1974,5.00E+00,-1.66E-01
1974,6.00E+00,2.19E-01
