"","year","production","pop_name","n","originprop","originpercentage"
"72",1977,"Composite","Cedar Chinook",944,0.0421842881401376,4.21842881401376
"73",1978,"Composite","Cedar Chinook",1245,0.0455077125520871,4.55077125520871
"74",1979,"Composite","Cedar Chinook",1739,0.0474087402197323,4.74087402197323
"75",1980,"Composite","Cedar Chinook",1903,0.0455001912777353,4.55001912777353
"76",1981,"Composite","Cedar Chinook",873,0.0481788079470199,4.81788079470199
"77",1982,"Composite","Cedar Chinook",1067,0.0525589872420078,5.25589872420078
"78",1983,"Composite","Cedar Chinook",1102,0.0500158852630146,5.00158852630146
"79",1984,"Composite","Cedar Chinook",1256,0.0506778566817302,5.06778566817302
"80",1985,"Composite","Cedar Chinook",1072,0.0334790755777639,3.34790755777639
"81",1986,"Composite","Cedar Chinook",1318,0.0366050102760651,3.66050102760651
"82",1987,"Composite","Cedar Chinook",2154,0.0640995119628616,6.40995119628616
"83",1988,"Composite","Cedar Chinook",782,0.0231525343439128,2.31525343439128
"84",1989,"Composite","Cedar Chinook",781,0.024588357522904,2.4588357522904
"85",1990,"Composite","Cedar Chinook",656,0.0174779527349266,1.74779527349266
"86",1991,"Composite","Cedar Chinook",711,0.0254793047840889,2.54793047840889
"87",1992,"Composite","Cedar Chinook",734,0.0322453103720951,3.22453103720951
"88",1993,"Composite","Cedar Chinook",218,0.011169177169792,1.1169177169792
"89",1994,"Composite","Cedar Chinook",632,0.0303495966192854,3.03495966192854
"90",1995,"Composite","Cedar Chinook",953,0.0361258529188779,3.61258529188779
"91",1996,"Composite","Cedar Chinook",424,0.0150477339674202,1.50477339674202
"92",1997,"Composite","Cedar Chinook",318,0.0188892188892189,1.88892188892189
"93",1998,"Composite","Cedar Chinook",604,0.0202412868632708,2.02412868632708
"94",1999,"Composite","Cedar Chinook",455,0.0238732357416444,2.38732357416444
"95",2000,"Composite","Cedar Chinook",133,0.0047373107747106,0.47373107747106
"96",2001,"Composite","Cedar Chinook",975,0.0328714473551128,3.28714473551128
"97",2002,"Composite","Cedar Chinook",673,0.016487823999216,1.6487823999216
"98",2003,"Composite","Cedar Chinook",798,0.0413000724562675,4.13000724562675
"99",2004,"Hatchery","Cedar Chinook",383,0.029992169146437,2.9992169146437
"100",2004,"Natural","Cedar Chinook",842,0.105342174402602,10.5342174402602
"101",2005,"Hatchery","Cedar Chinook",246,0.0352941176470588,3.52941176470588
"102",2005,"Natural","Cedar Chinook",582,0.0955351280367695,9.55351280367695
"103",2006,"Hatchery","Cedar Chinook",304,0.0239880059970015,2.39880059970015
"104",2006,"Natural","Cedar Chinook",1164,0.0820990266610241,8.20990266610241
"105",2007,"Hatchery","Cedar Chinook",255,0.0268082422203532,2.68082422203532
"106",2007,"Natural","Cedar Chinook",1893,0.196838931059582,19.6838931059582
"107",2008,"Hatchery","Cedar Chinook",152,0.0151575588352613,1.51575588352613
"108",2008,"Natural","Cedar Chinook",1346,0.0770066937467818,7.70066937467818
"109",2009,"Hatchery","Cedar Chinook",136,0.0195121951219512,1.95121951219512
"110",2009,"Natural","Cedar Chinook",577,0.141803883017941,14.1803883017941
"111",2010,"Hatchery","Cedar Chinook",113,0.0112337210458296,1.12337210458296
"112",2010,"Natural","Cedar Chinook",542,0.0738117935448727,7.38117935448727
"113",2011,"Hatchery","Cedar Chinook",159,0.0208142427019243,2.08142427019243
"114",2011,"Natural","Cedar Chinook",646,0.124903325599381,12.4903325599381
"115",2012,"Hatchery","Cedar Chinook",169,0.0200284427589476,2.00284427589476
"116",2012,"Natural","Cedar Chinook",881,0.102596948876208,10.2596948876208
"117",2013,"Hatchery","Cedar Chinook",240,0.0250914793518035,2.50914793518035
"118",2013,"Natural","Cedar Chinook",1570,0.239731256680409,23.9731256680409
"119",2014,"Hatchery","Cedar Chinook",262,0.0381201804161211,3.81201804161211
"120",2014,"Natural","Cedar Chinook",306,0.0534031413612565,5.34031413612565
"121",2015,"Hatchery","Cedar Chinook",606,0.0611256808553561,6.11256808553561
"122",2015,"Natural","Cedar Chinook",1192,0.162685956052955,16.2685956052955
"123",2016,"Hatchery","Cedar Chinook",410,0.0281419452261651,2.81419452261651
"124",2016,"Natural","Cedar Chinook",615,0.0690545699528408,6.90545699528408
"125",2017,"Hatchery","Cedar Chinook",469,0.0370399620912968,3.70399620912968
"126",2017,"Natural","Cedar Chinook",1564,0.156965074267363,15.6965074267363
